Award,Club,Url
MANAGER_OF_THE_MONTH_man40853,Everton,https://www.premierleague.com/news/3998819
MANAGER_OF_THE_MONTH_man50428,Bournemouth,https://www.premierleague.com/news/3960710
PLAYER_OF_THE_MONTH_p497894,Manchester United,https://www.premierleague.com/news/3921955
PLAYER_OF_THE_MONTH_p194634,Liverpool,https://www.premierleague.com/news/3894601
MANAGER_OF_THE_MONTH_man279,,https://www.premierleague.com/news/3893153
MANAGER_OF_THE_MONTH_man37569,Aston Villa,https://www.premierleague.com/news/3853193
PLAYER_OF_THE_MONTH_p95658,Manchester United,https://www.premierleague.com/news/3808489
MANAGER_OF_THE_MONTH_man41668,Manchester United,https://www.premierleague.com/news/3808575
PLAYER_OF_THE_MONTH_p118748,Liverpool,https://www.premierleague.com/news/3776619
PLAYER_OF_THE_MONTH_p223094,Manchester City,https://www.premierleague.com/news/3331263
MANAGER_OF_THE_MONTH_man37569,Aston Villa,https://www.premierleague.com/news/3331249
